State,Customer Lifetime Value,Response,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Cluster
California,4738.992022,No,Basic,College,Unemployed,M,0.0,Suburban,Single,67.0,23.0,5.0,0.0,3.0,Personal Auto,Personal L3,Offer1,Agent,482.4,Four-Door Car,Small,2
California,8197.197078,No,Basic,College,Unemployed,F,0.0,Suburban,Married,110.0,26.999999999999996,87.0,0.0,3.0,Personal Auto,Personal L3,Offer2,Agent,528.0,SUV,Medsize,3
California,8798.797003,No,Premium,Master,Employed,M,77026.0,Urban,Married,110.0,9.0,82.0,0.0,3.0,Corporate Auto,Corporate L1,Offer2,Agent,472.029737,Four-Door Car,Medsize,2
Arizona,8819.018934,Yes,Basic,High School or Below,Employed,M,99845.0,Suburban,Married,110.0,23.0,25.0,0.0,8.0,Corporate Auto,Corporate L3,Offer2,Branch,528.0,SUV,Medsize,0
California,5384.431665,No,Basic,College,Employed,M,83689.0,Urban,Single,70.0,21.0,10.0,0.0,8.0,Corporate Auto,Corporate L3,Offer4,Call Center,307.139132,Four-Door Car,Medsize,2
Oregon,7463.1393769999995,No,Basic,Bachelor,Employed,F,24599.0,Rural,Married,64.0,12.0,50.0,0.0,2.0,Corporate Auto,Corporate L2,Offer2,Branch,42.920271,Four-Door Car,Medsize,1
Nevada,2566.867823,No,Basic,High School or Below,Medical Leave,M,25049.0,Suburban,Married,67.0,14.0,7.000000000000001,0.0,1.0,Personal Auto,Personal L3,Offer2,Call Center,454.245098,Two-Door Car,Medsize,0
California,3945.2416040000003,No,Basic,College,Medical Leave,M,28854.999999999996,Suburban,Married,101.0,12.0,59.0,0.0,1.0,Personal Auto,Personal L2,Offer3,Call Center,647.442031,SUV,Medsize,0
Oregon,5710.333115,No,Basic,College,Employed,M,51148.0,Urban,Married,72.0,9.0,1.0,0.0,7.0,Personal Auto,Personal L2,Offer2,Branch,308.981664,Four-Door Car,Medsize,2
California,8162.617052999999,No,Premium,High School or Below,Employed,F,66140.0,Suburban,Married,101.0,11.0,21.0,0.0,3.0,Corporate Auto,Corporate L2,Offer1,Call Center,484.80000000000007,Four-Door Car,Small,1
Oregon,2872.051273,No,Basic,High School or Below,Employed,M,57749.00000000001,Suburban,Single,74.0,31.0,21.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Branch,355.2,Two-Door Car,Medsize,0
Washington,3041.791561,No,Extended,Bachelor,Disabled,F,13789.0,Suburban,Divorced,79.0,8.0,49.0,0.0,1.0,Personal Auto,Personal L3,Offer4,Call Center,379.2,Four-Door Car,Medsize,1
Arizona,16387.34622375,Yes,Basic,Bachelor,Medical Leave,M,14072.000000000002,Suburban,Divorced,71.0,13.0,3.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,511.2,Four-Door Car,Medsize,2
Nevada,2450.190996,No,Basic,Bachelor,Unemployed,F,0.0,Suburban,Single,73.0,4.0,44.0,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Branch,554.376763,Four-Door Car,Medsize,1
California,2392.10789,No,Basic,Bachelor,Disabled,F,17870.0,Suburban,Married,61.0,30.0,91.0,0.0,1.0,Corporate Auto,Corporate L2,Offer2,Branch,439.2,Four-Door Car,Medsize,1
Oregon,5802.065978,No,Basic,College,Employed,M,97541.0,Suburban,Married,72.0,22.0,1.0,0.0,3.0,Personal Auto,Personal L3,Offer2,Call Center,389.185006,Four-Door Car,Large,2
California,3946.372085,No,Premium,Bachelor,Unemployed,F,0.0,Suburban,Single,111.00000000000001,15.0,47.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,799.2,Four-Door Car,Small,1
Washington,5346.916576,No,Extended,Master,Disabled,F,10511.0,Urban,Married,139.0,33.0,64.0,0.0,1.0,Corporate Auto,Corporate L1,Offer1,Branch,516.237951,SUV,Medsize,3
Arizona,12902.56014,No,Premium,College,Employed,F,86584.0,Suburban,Single,111.00000000000001,33.0,54.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Call Center,532.8,Four-Door Car,Large,1
Oregon,3235.360468,No,Extended,Master,Employed,F,75690.0,Suburban,Married,80.0,17.0,44.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Branch,384.0,Four-Door Car,Small,1
Arizona,2454.58354,No,Basic,College,Employed,M,23158.0,Suburban,Married,63.0,4.0,6.0,0.0,1.0,Personal Auto,Personal L2,Offer4,Call Center,322.294043,Four-Door Car,Small,2
Nevada,16387.34622375,No,Extended,High School or Below,Employed,M,65999.0,Urban,Married,170.5,1.0,14.000000000000002,0.0,6.0,Corporate Auto,Corporate L2,Offer2,Agent,615.927769,Luxury SUV,Medsize,2
California,4715.321344,No,Basic,Bachelor,Unemployed,M,0.0,Urban,Married,65.0,19.0,56.00000000000001,0.0,3.0,Personal Auto,Personal L3,Offer1,Call Center,308.15089,Four-Door Car,Medsize,2
Washington,5018.885233,No,Basic,Bachelor,Employed,M,54500.0,Suburban,Married,63.0,28.0,17.0,0.0,6.0,Corporate Auto,Corporate L2,Offer1,Agent,302.4,Two-Door Car,Small,0
Oregon,4932.916345,No,Basic,Bachelor,Employed,F,37260.0,Rural,Married,62.0,19.0,42.0,0.0,8.0,Corporate Auto,Corporate L1,Offer3,Web,15.437681,Four-Door Car,Medsize,1
Arizona,5744.229745,No,Basic,High School or Below,Employed,F,68987.0,Urban,Married,71.0,11.0,40.0,0.0,6.0,Personal Auto,Personal L1,Offer1,Branch,204.475147,Four-Door Car,Medsize,1
California,13891.73567,No,Premium,Bachelor,Employed,M,42305.0,Suburban,Married,116.99999999999999,10.0,62.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,561.6,Four-Door Car,Small,2
Oregon,7380.976717,No,Extended,Master,Employed,F,65706.0,Suburban,Married,91.0,19.0,86.0,0.0,8.0,Personal Auto,Personal L3,Offer2,Web,436.8,Four-Door Car,Small,1
Oregon,3090.034104,No,Extended,Bachelor,Unemployed,M,0.0,Suburban,Single,90.0,7.0,79.0,0.0,1.0,Personal Auto,Personal L2,Offer3,Agent,648.0,Two-Door Car,Small,0
Arizona,2521.633095,No,Basic,High School or Below,Employed,M,53243.0,Rural,Divorced,66.0,4.0,15.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Call Center,157.397849,Four-Door Car,Medsize,2
Nevada,2652.061785,No,Basic,High School or Below,Unemployed,F,0.0,Suburban,Married,70.0,7.0,1.0,0.0,1.0,Corporate Auto,Corporate L3,Offer3,Call Center,484.31853599999994,Two-Door Car,Medsize,3
Oregon,2771.045031,Yes,Basic,College,Employed,F,50071.0,Rural,Single,71.0,3.0,32.0,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Agent,18.918935,Two-Door Car,Medsize,3
California,3939.0063700000005,Yes,Extended,Bachelor,Employed,F,60021.00000000001,Suburban,Married,99.0,12.0,28.000000000000004,0.0,1.0,Personal Auto,Personal L2,Offer2,Agent,882.871945,Four-Door Car,Small,1
Arizona,12231.87968,No,Basic,High School or Below,Employed,M,43244.0,Suburban,Married,103.0,15.0,16.0,0.0,2.0,Personal Auto,Personal L2,Offer4,Agent,494.3999999999999,Sports Car,Medsize,0
Washington,2443.665166,No,Basic,College,Employed,M,92834.0,Suburban,Married,61.0,15.0,56.00000000000001,0.0,1.0,Special Auto,Special L2,Offer2,Call Center,292.8,Four-Door Car,Large,2
Oregon,12819.10289,No,Premium,Doctor,Disabled,F,10105.0,Rural,Married,170.5,5.0,4.0,0.0,3.0,Personal Auto,Personal L2,Offer1,Branch,0.517753,SUV,Medsize,3
Arizona,4468.510542,No,Basic,Bachelor,Unemployed,M,0.0,Suburban,Single,73.0,7.0,57.0,0.0,5.0,Personal Auto,Personal L3,Offer3,Call Center,579.165954,Four-Door Car,Medsize,2
Oregon,5514.344018,No,Basic,High School or Below,Employed,F,23218.0,Suburban,Single,71.0,7.0,10.0,0.0,4.0,Personal Auto,Personal L2,Offer4,Agent,447.79344,Two-Door Car,Medsize,3
California,3343.875326,No,Extended,Bachelor,Unemployed,F,0.0,Suburban,Married,92.0,11.0,77.0,0.0,1.0,Corporate Auto,Corporate L2,Offer2,Call Center,529.624084,Four-Door Car,Medsize,1
Arizona,2294.478927,No,Basic,High School or Below,Unemployed,F,0.0,Suburban,Married,62.0,11.0,56.00000000000001,0.0,1.0,Personal Auto,Personal L2,Offer4,Branch,313.023175,Four-Door Car,Medsize,1
Oregon,16387.34622375,No,Basic,College,Employed,M,24804.0,Suburban,Married,104.0,1.0,28.000000000000004,0.0,2.0,Personal Auto,Personal L2,Offer1,Agent,593.830288,SUV,Small,0
California,16387.34622375,Yes,Basic,Bachelor,Employed,F,33190.0,Suburban,Divorced,106.0,18.0,95.0,0.0,2.0,Corporate Auto,Corporate L1,Offer1,Web,508.8,SUV,Medsize,3
Nevada,7983.431709,No,Basic,High School or Below,Employed,F,36014.0,Rural,Married,69.0,4.0,40.0,0.0,2.0,Special Auto,Special L1,Offer4,Branch,173.956072,Four-Door Car,Medsize,1
Washington,4854.745666,No,Basic,Bachelor,Employed,M,29834.0,Suburban,Single,64.0,19.0,44.0,0.0,3.0,Personal Auto,Personal L3,Offer4,Agent,307.2,Four-Door Car,Medsize,2
California,4293.997319,No,Premium,Bachelor,Disabled,M,16701.0,Suburban,Married,112.99999999999999,20.0,26.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Branch,831.625979,Four-Door Car,Small,2
Arizona,7164.395543,No,Extended,College,Employed,F,46623.0,Suburban,Divorced,91.0,1.0,52.99999999999999,0.0,3.0,Corporate Auto,Corporate L3,Offer3,Call Center,436.8,Four-Door Car,Small,1
California,7619.5158,No,Basic,College,Employed,M,64749.0,Urban,Married,64.0,24.0,59.0,0.0,2.0,Special Auto,Special L2,Offer2,Branch,302.56519,Four-Door Car,Medsize,2
Arizona,3958.002823,No,Basic,High School or Below,Unemployed,F,0.0,Suburban,Married,101.0,29.0,12.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Call Center,484.80000000000007,SUV,Small,3
Oregon,4499.493252,No,Extended,High School or Below,Disabled,F,16969.0,Suburban,Divorced,124.0,34.0,47.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Call Center,704.768111,SUV,Medsize,3
Oregon,4059.567414,No,Premium,Master,Disabled,F,11621.0,Suburban,Divorced,108.0,4.0,98.0,0.0,1.0,Personal Auto,Personal L1,Offer1,Agent,518.4,Four-Door Car,Medsize,1
Arizona,4458.113369,Yes,Basic,Bachelor,Retired,M,17622.0,Suburban,Divorced,65.0,1.0,36.0,0.0,3.0,Personal Auto,Personal L1,Offer1,Agent,312.0,Four-Door Car,Medsize,2
California,8110.333138999999,No,Premium,Bachelor,Medical Leave,F,11489.0,Suburban,Married,105.0,4.0,50.0,0.0,6.0,Personal Auto,Personal L3,Offer1,Call Center,504.00000000000006,Two-Door Car,Small,3
Oregon,3339.764873,No,Extended,Bachelor,Unemployed,M,0.0,Suburban,Single,94.0,20.0,52.99999999999999,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,863.327324,Two-Door Car,Small,0
California,16387.34622375,No,Basic,High School or Below,Employed,F,66525.0,Rural,Married,100.0,0.0,86.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,104.331355,SUV,Medsize,3
Arizona,6613.973653,No,Basic,Bachelor,Unemployed,F,0.0,Suburban,Single,63.0,21.0,28.000000000000004,0.0,2.0,Personal Auto,Personal L3,Offer3,Branch,676.391482,Four-Door Car,Large,1
Washington,2930.693543,No,Basic,College,Employed,M,33663.0,Suburban,Married,73.0,29.0,71.0,0.0,1.0,Personal Auto,Personal L3,Offer3,Web,350.4,Four-Door Car,Medsize,2
Oregon,8672.194272,No,Basic,College,Employed,F,22547.0,Suburban,Divorced,112.0,7.0,60.0,0.0,3.0,Corporate Auto,Corporate L3,Offer1,Agent,537.6,SUV,Medsize,3
Arizona,11638.66926,No,Extended,High School or Below,Employed,F,61486.0,Urban,Married,97.0,5.0,65.0,0.0,2.0,Personal Auto,Personal L3,Offer4,Branch,465.258644,Two-Door Car,Small,3
Oregon,6846.150323,Yes,Extended,Bachelor,Unemployed,F,0.0,Suburban,Divorced,95.0,13.0,20.0,0.0,5.0,Personal Auto,Personal L3,Offer1,Call Center,456.0,Two-Door Car,Large,3
California,11727.77648,No,Premium,College,Disabled,F,29879.0,Suburban,Married,102.0,17.0,0.0,0.0,2.0,Personal Auto,Personal L3,Offer3,Web,500.254235,Four-Door Car,Medsize,1
Oregon,16387.34622375,No,Basic,High School or Below,Employed,M,93011.0,Rural,Divorced,112.99999999999999,17.0,12.0,0.0,2.0,Personal Auto,Personal L3,Offer4,Agent,281.451042,SUV,Medsize,2
Oregon,2614.474305,No,Basic,Master,Employed,M,65186.0,Rural,Married,65.0,29.0,27.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Web,5.434505,Two-Door Car,Large,0
Oregon,2451.752695,No,Basic,Master,Medical Leave,M,26840.0,Suburban,Married,64.0,1.0,47.0,0.0,1.0,Personal Auto,Personal L1,Offer1,Agent,307.2,Four-Door Car,Medsize,2
Oregon,6781.270203,No,Basic,Bachelor,Unemployed,M,0.0,Suburban,Single,104.0,30.0,3.0,0.0,5.0,Personal Auto,Personal L3,Offer1,Agent,964.2628512499998,Sports Car,Medsize,0
Oregon,4974.801539,Yes,Basic,Bachelor,Employed,M,75644.0,Suburban,Divorced,65.0,5.0,68.0,0.0,8.5,Personal Auto,Personal L3,Offer2,Branch,467.803638,Two-Door Car,Medsize,0
Oregon,8591.604933,No,Basic,Bachelor,Employed,M,38984.0,Suburban,Married,73.0,26.999999999999996,38.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Branch,350.4,Four-Door Car,Small,2
Oregon,5592.161392,No,Basic,High School or Below,Employed,F,71811.0,Rural,Single,71.0,17.0,48.0,0.0,6.0,Personal Auto,Personal L1,Offer2,Call Center,29.03416,Four-Door Car,Medsize,1
Nevada,8009.472832999999,No,Basic,College,Employed,M,20961.0,Suburban,Married,67.0,20.0,33.0,0.0,2.0,Personal Auto,Personal L1,Offer2,Agent,321.6,Four-Door Car,Medsize,2
Washington,11318.08982,No,Extended,College,Employed,M,38923.0,Rural,Married,99.0,6.0,83.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,115.728852,Four-Door Car,Medsize,2
California,16387.34622375,No,Basic,Bachelor,Employed,M,61321.00000000001,Rural,Single,170.5,0.0,30.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Branch,427.63121,Luxury Car,Small,2
California,8025.229358,No,Extended,College,Unemployed,F,0.0,Rural,Single,77.0,20.0,26.0,0.0,2.0,Personal Auto,Personal L3,Offer3,Branch,25.807685,Two-Door Car,Large,3
California,5780.182197,Yes,Basic,High School or Below,Employed,M,51066.0,Suburban,Single,74.0,23.0,0.0,0.0,8.0,Personal Auto,Personal L3,Offer2,Call Center,787.993313,Four-Door Car,Medsize,2
California,4118.539113,No,Basic,Doctor,Employed,M,34378.0,Suburban,Married,102.0,12.0,54.0,0.0,1.0,Personal Auto,Personal L1,Offer3,Branch,489.6,SUV,Medsize,0
Nevada,2523.07015,No,Basic,Master,Employed,M,43072.0,Suburban,Married,63.0,35.0,15.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Call Center,302.4,Four-Door Car,Large,2
Oregon,6554.216396,No,Extended,College,Disabled,F,25222.0,Suburban,Single,90.0,28.0,69.0,0.0,3.0,Personal Auto,Personal L3,Offer2,Agent,475.623251,Four-Door Car,Small,1
Washington,7703.397294000001,No,Basic,High School or Below,Employed,M,36765.0,Suburban,Married,66.0,15.0,32.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Call Center,320.849072,Four-Door Car,Medsize,2
California,5926.729379,Yes,Extended,College,Retired,M,23091.0,Suburban,Married,96.0,28.0,90.0,0.0,5.0,Personal Auto,Personal L1,Offer1,Agent,460.8,Four-Door Car,Medsize,2
California,2683.470677,No,Basic,Bachelor,Employed,F,48269.0,Urban,Married,69.0,3.0,79.0,0.0,1.0,Corporate Auto,Corporate L2,Offer3,Web,282.151207,Four-Door Car,Medsize,1
Oregon,2695.182419,No,Basic,Bachelor,Employed,F,32720.0,Suburban,Divorced,67.0,13.0,12.0,0.0,1.0,Personal Auto,Personal L2,Offer3,Branch,321.6,Four-Door Car,Medsize,1
California,6047.02516,Yes,Extended,College,Employed,M,20396.0,Suburban,Married,76.0,15.0,60.0,0.0,4.0,Personal Auto,Personal L3,Offer1,Branch,364.8,Four-Door Car,Medsize,2
Oregon,13171.01282,No,Premium,College,Medical Leave,M,21513.0,Suburban,Married,119.00000000000001,21.0,81.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Branch,679.827592,Two-Door Car,Small,0
Washington,10656.88195,Yes,Extended,Bachelor,Employed,F,72540.0,Suburban,Married,88.0,7.0,3.0,0.0,2.0,Corporate Auto,Corporate L3,Offer2,Call Center,631.743039,Two-Door Car,Medsize,3
Oregon,2527.653796,No,Basic,Bachelor,Employed,F,80744.0,Rural,Married,63.0,24.0,84.0,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Agent,11.879037,Four-Door Car,Medsize,1
Oregon,2672.095756,No,Basic,Bachelor,Employed,M,52822.0,Suburban,Married,67.0,23.0,88.0,0.0,1.0,Corporate Auto,Corporate L1,Offer1,Branch,350.529033,Two-Door Car,Small,0
California,5313.294035,No,Extended,High School or Below,Unemployed,F,0.0,Suburban,Single,77.0,8.0,10.0,0.0,8.5,Personal Auto,Personal L2,Offer1,Agent,863.3947,Four-Door Car,Medsize,1
Oregon,16387.34622375,No,Basic,Bachelor,Employed,F,69738.0,Suburban,Married,74.0,2.0,26.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Branch,492.127532,Four-Door Car,Large,1
Arizona,8375.353929,No,Basic,Master,Medical Leave,F,17780.0,Rural,Married,109.0,12.0,18.0,0.0,8.5,Personal Auto,Personal L3,Offer1,Branch,132.588288,SUV,Medsize,3
California,4801.661503,No,Basic,Bachelor,Medical Leave,M,18107.0,Suburban,Married,62.0,29.0,11.0,0.0,8.0,Personal Auto,Personal L2,Offer1,Agent,297.6,Four-Door Car,Medsize,2
Arizona,5745.94334,No,Basic,Bachelor,Employed,F,57740.0,Urban,Married,74.0,30.0,87.0,0.0,8.5,Personal Auto,Personal L1,Offer3,Web,269.905129,Four-Door Car,Medsize,1
Oregon,6066.115969,No,Extended,College,Employed,M,32627.000000000004,Suburban,Married,76.0,11.0,60.0,0.0,7.0,Personal Auto,Personal L2,Offer1,Agent,380.036697,Two-Door Car,Small,0
California,8002.308333000001,Yes,Basic,College,Unemployed,F,0.0,Suburban,Married,107.0,3.0,65.0,0.0,3.0,Personal Auto,Personal L3,Offer1,Agent,513.6,SUV,Medsize,3
California,2393.915369,Yes,Basic,College,Unemployed,M,0.0,Suburban,Single,70.0,24.0,10.0,0.0,1.0,Personal Auto,Personal L1,Offer1,Branch,425.266308,Four-Door Car,Medsize,2
Oregon,4762.8179,No,Basic,Bachelor,Employed,M,65795.0,Rural,Single,62.0,2.0,85.0,0.0,3.0,Corporate Auto,Corporate L3,Offer3,Call Center,49.011099,Two-Door Car,Medsize,0
California,4330.38602,Yes,Premium,College,Employed,M,60475.0,Suburban,Married,107.0,9.0,18.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Branch,513.6,Four-Door Car,Medsize,2
California,9402.729769,No,Extended,High School or Below,Unemployed,F,0.0,Suburban,Single,130.0,28.0,88.0,0.0,4.0,Personal Auto,Personal L3,Offer1,Web,936.0,SUV,Medsize,3
Oregon,6966.694527,No,Extended,Bachelor,Employed,F,41837.0,Rural,Married,88.0,29.0,93.0,0.0,8.5,Personal Auto,Personal L3,Offer1,Call Center,142.062768,Four-Door Car,Small,1
California,7694.064293000001,No,Basic,Bachelor,Employed,F,32303.0,Rural,Married,65.0,13.0,34.0,0.0,2.0,Personal Auto,Personal L1,Offer3,Branch,45.152521,Four-Door Car,Medsize,1
Oregon,8717.561149,No,Basic,High School or Below,Unemployed,M,0.0,Suburban,Married,116.99999999999999,5.0,89.0,0.0,3.0,Personal Auto,Personal L1,Offer1,Agent,561.6,SUV,Medsize,0
California,5928.748528,No,Basic,Bachelor,Employed,F,40531.0,Rural,Married,74.0,17.0,32.0,0.0,8.5,Personal Auto,Personal L3,Offer1,Agent,30.567357,Two-Door Car,Medsize,3
Oregon,2452.977288,No,Basic,College,Employed,M,79898.0,Urban,Married,62.0,5.0,86.0,0.0,1.0,Corporate Auto,Corporate L1,Offer4,Agent,271.606799,Four-Door Car,Medsize,2
California,6701.571657,No,Extended,College,Employed,M,56398.0,Suburban,Married,85.0,4.0,18.0,0.0,7.0,Personal Auto,Personal L3,Offer4,Agent,408.0,Four-Door Car,Small,2
Washington,7556.24034,No,Extended,High School or Below,Employed,M,35257.0,Suburban,Divorced,98.0,16.0,2.0,0.0,8.0,Corporate Auto,Corporate L2,Offer2,Web,470.4,Four-Door Car,Small,2
Arizona,8492.6988,No,Basic,College,Employed,M,27804.0,Suburban,Married,109.0,19.0,54.0,0.0,7.0,Personal Auto,Personal L3,Offer2,Branch,784.8,SUV,Medsize,0
Oregon,7713.494046000001,No,Basic,Bachelor,Employed,M,45506.0,Suburban,Single,66.0,16.0,32.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,316.8,Four-Door Car,Medsize,2
Washington,16387.34622375,No,Basic,High School or Below,Employed,M,65195.99999999999,Suburban,Married,67.0,0.0,54.0,0.0,2.0,Personal Auto,Personal L2,Offer4,Branch,396.082036,Four-Door Car,Medsize,2
California,7290.069769,No,Basic,High School or Below,Unemployed,M,0.0,Suburban,Married,102.0,11.0,70.0,0.0,3.0,Corporate Auto,Corporate L2,Offer1,Agent,489.6,SUV,Medsize,0
Oregon,4772.943848,Yes,Extended,High School or Below,Retired,M,20993.0,Suburban,Divorced,133.0,35.0,90.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,638.4,SUV,Medsize,0
Arizona,6806.491395,No,Extended,High School or Below,Employed,M,37839.0,Suburban,Married,86.0,35.0,77.0,0.0,8.5,Personal Auto,Personal L3,Offer2,Branch,465.633954,Two-Door Car,Medsize,0
California,2469.781334,No,Basic,Bachelor,Employed,F,92711.0,Suburban,Single,62.0,24.0,10.0,0.0,1.0,Personal Auto,Personal L2,Offer3,Agent,368.400146,Two-Door Car,Medsize,3
California,3103.923041,No,Extended,College,Employed,F,74665.0,Urban,Married,78.0,10.0,90.0,0.0,1.0,Corporate Auto,Corporate L2,Offer2,Call Center,236.902001,Four-Door Car,Medsize,1
Washington,2981.875575,No,Extended,College,Unemployed,M,0.0,Suburban,Married,83.0,26.0,89.0,0.0,1.0,Personal Auto,Personal L2,Offer3,Web,582.679087,Two-Door Car,Medsize,0
California,8902.737595,No,Basic,Bachelor,Employed,M,46833.0,Rural,Married,112.0,6.0,3.0,0.0,8.5,Personal Auto,Personal L3,Offer1,Call Center,64.109663,Sports Car,Medsize,0
Oregon,5499.447223,No,Basic,High School or Below,Employed,F,88768.0,Suburban,Married,68.0,17.0,77.0,0.0,7.0,Personal Auto,Personal L3,Offer3,Branch,326.4,Two-Door Car,Small,3
California,15023.598579999998,No,Basic,High School or Below,Employed,M,28261.999999999996,Suburban,Single,170.5,9.0,77.0,0.0,3.0,Personal Auto,Personal L3,Offer3,Web,921.6,Luxury SUV,Medsize,0
Nevada,2509.107875,No,Basic,Bachelor,Employed,F,33555.0,Rural,Married,63.0,17.0,11.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,101.89645,Four-Door Car,Medsize,1
Oregon,16387.34622375,No,Premium,College,Employed,M,42780.0,Suburban,Divorced,112.99999999999999,10.0,27.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Call Center,542.4,Four-Door Car,Medsize,2
Oregon,3133.503432,No,Extended,Master,Employed,F,58850.0,Rural,Single,78.0,20.0,26.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Branch,143.747794,Four-Door Car,Medsize,1
Arizona,3837.451863,No,Extended,College,Employed,M,21880.0,Urban,Married,97.0,29.0,37.0,0.0,1.0,Special Auto,Special L2,Offer1,Branch,424.077159,Four-Door Car,Medsize,2
Oregon,11790.49617,Yes,Basic,College,Retired,M,25251.0,Suburban,Divorced,66.0,13.0,43.0,0.0,2.0,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize,2
Washington,7838.068321000001,No,Basic,Master,Unemployed,F,0.0,Rural,Married,69.0,9.0,12.0,0.0,2.0,Personal Auto,Personal L1,Offer2,Agent,2.704934,Four-Door Car,Medsize,1
Arizona,4305.808345,No,Basic,High School or Below,Employed,M,24188.0,Suburban,Married,109.0,14.0,82.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,523.2,Sports Car,Medsize,0
Nevada,5973.976904,No,Basic,Bachelor,Employed,F,41611.0,Rural,Married,74.0,14.0,8.0,0.0,8.0,Special Auto,Special L2,Offer1,Branch,113.801497,Four-Door Car,Medsize,1
Oregon,5670.442396,No,Basic,Bachelor,Employed,F,28406.0,Urban,Married,72.0,16.0,35.0,0.0,4.0,Personal Auto,Personal L3,Offer1,Call Center,192.87572,Four-Door Car,Medsize,1
